79: Exponential sums
95: Matrix/inverse
100: Subtraction/floating-point

105: Exponential sums
113: Exponential sums
152: Primitive recursive function
178: Subtraction
191: Subtraction
197: Subtraction
265: Subtraction
314: Matrix/inverse
366: Exponential sums
200: addition
425: Matrix/null space
468: Subtraction/complex
482: Matrix/inverse
506: Subtraction/power series
602: Subtraction/continued fractions
625: Matrix/null space
214: Subtraction/floating-point
219: Subtraction/floating-point
230: Subtraction/floating-point
232: Subtraction/floating-point
238: Subtraction/floating-point
249: Subtraction/floating-point
250: Subtraction
657: Matrix/inverse
197: Subtraction
